Employee_ID,Employee_Name,Current_Rating,Engagement_Score,Department,Gender,Training_Program,Training_Cost,Training_Duration,Expected_Improvement
2681,Jaime Greer,1,3,Sales,Male,Customer Service,567.3894513274336,2.9557522123893807,1.945486725663717
3922,Kaitlin Hickman,3,5,IT/IS,Female,Technical Skills,557.9837823834197,2.906735751295337,1.2277374784110537
2021,Marlee Woods,3,1,Production       ,Female,Project Management,563.7326272577997,3.032840722495895,1.0358949096880132
1535,Amari Christian,3,4,Production       ,Female,Project Management,563.7326272577997,3.032840722495895,1.1558949096880131
3558,Mildred Gentry,1,2,Production       ,Female,Customer Service,567.3894513274336,2.9557522123893807,1.955486725663717
3611,Rowan Cobb,2,2,Production       ,Female,Technical Skills,557.9837823834197,2.906735751295337,1.477737478411054
2376,Erica Sloan,4,5,Production       ,Female,Leadership Development,564.2892508710802,3.033101045296167,0.815574912891986
2138,Wilson Sloan,2,1,Production       ,Female,Communication Skills,542.3822288261515,2.9509658246656763,1.5075780089153048
3840,Meadow Boyer,3,1,IT/IS,Male,Communication Skills,542.3822288261515,2.9509658246656763,1.1075780089153047
3038,Heidi Manning,2,5,Production       ,Male,Communication Skills,542.3822288261515,2.9509658246656763,1.7075780089153048
1405,Shana Petingill,3,3,Production       ,Female,Project Management,563.7326272577997,3.032840722495895,1.135894909688013
2756,Earnest Hankard,2,1,Production       ,Male,Communication Skills,542.3822288261515,2.9509658246656763,1.447578008915305
1871,Lindsay Becker,3,1,Production       ,Female,Leadership Development,564.2892508710802,3.033101045296167,1.075574912891986
2015,Markus Robles,3,4,Production       ,Female,Communication Skills,542.3822288261515,2.9509658246656763,1.1975780089153047
1013,Jasmin Shah,3,5,Software Engineering,Male,Project Management,563.7326272577997,3.032840722495895,1.265894909688013
3904,Quintin Fry,3,4,IT/IS,Male,Customer Service,567.3894513274336,2.9557522123893807,1.225486725663717
1080,Abdullah Frederick,3,3,Software Engineering,Male,Project Management,563.7326272577997,3.032840722495895,1.0758949096880133
2390,Barrett Obrien,1,1,Production       ,Female,Communication Skills,542.3822288261515,2.9509658246656763,1.9075780089153047
3503,Geovanni Pugh,4,5,Sales,Male,Customer Service,567.3894513274336,2.9557522123893807,0.8154867256637168
1077,Derek Moreno,3,5,Software Engineering,Female,Project Management,563.7326272577997,3.032840722495895,1.2058949096880132
3720,Crystal Brandt,3,2,Production       ,Female,Customer Service,567.3894513274336,2.9557522123893807,1.0354867256637168
3270,Brandon Dickerson,2,5,Production       ,Male,Communication Skills,542.3822288261515,2.9509658246656763,1.7075780089153048
2176,Tyree Weaver,2,2,Production       ,Female,Communication Skills,542.3822288261515,2.9509658246656763,1.437578008915305
2726,Martin Herrera,2,2,Sales,Male,Communication Skills,542.3822288261515,2.9509658246656763,1.527578008915305
2202,Desiree Walker,4,5,Production       ,Female,Project Management,563.7326272577997,3.032840722495895,0.8658949096880132
1054,Phillip Salazar,3,1,Software Engineering,Male,Project Management,563.7326272577997,3.032840722495895,1.095894909688013
2695,Isis Ortega,2,5,Sales,Male,Leadership Development,564.2892508710802,3.033101045296167,1.6155749128919863
